219232467.998088750000 0.000082187500
219232467.998088750000	-3521984.882886846500	294970.797079435430	-928524.239448106850	-1.29361189236793450	-0.14465298924919318	-2.99875647791435410
219232468.039182480000	-3522020.346678263500	294990.677133053190	-928388.511373274610	-1.29365072011979440	-0.14465819465307733	-2.99875768417053520
219232468.080276250000	-3522055.805193949000	295010.556970185020	-928252.781804002590	-1.29368836803289630	-0.14466290891883429	-2.99875895305811600
219232468.121369990000	-3522091.258384139300	295030.436598299710	-928117.050964087130	-1.29372601609553820	-0.14466762317096662	-2.99876022223851720
219232468.162463750000	-3522126.706271660000	295050.315959128840	-927981.318625455370	-1.29376479159123340	-0.14467290247763442	-2.99876167861799600
219232468.203557490000	-3522162.148281587800	295070.195435819220	-927845.584637766120	-1.29380401108134910	-0.14467840424704051	-2.99876320892118950
219232468.244651260000	-3522197.585554735300	295090.074382886990	-927709.849564462670	-1.29384315723098920	-0.14468411339195023	-2.99876479574360480
219232468.285744990000	-3522233.017483920300	295109.953057233130	-927574.113179178680	-1.29388213407228330	-0.14469030002522471	-2.99876651227799850
219232468.326838760000	-3522268.444124767100	295129.831520432490	-927438.375329866540	-1.29392111107890330	-0.14469648663469609	-2.99876822917409310
219232468.367932500000	-3522303.865448795700	295149.709771926810	-927302.636198029390	-1.29396020746396870	-0.14470202939858678	-2.99876959503656960
219232468.409026240000	-3522339.281446369400	295169.587762426820	-927166.895657519110	-1.29399932490275990	-0.14470745890968043	-2.99877089942565080
219232468.450120000000	-3522374.692171163900	295189.465570594820	-927031.153658443010	-1.29403808230770800	-0.14471266305576455	-2.99877206747053780
219232468.491213740000	-3522410.097000095500	295209.343441168840	-926895.409994151210	-1.29407635100203610	-0.14471756146688583	-2.99877305040089710
219232468.532307510000	-3522445.497097851200	295229.220759385150	-926759.665225715140	-1.29411461973756770	-0.14472245986936949	-2.99877403362985580
219232468.573401240000	-3522480.891831655500	295249.097841415500	-926623.919169061930	-1.29415480561585470	-0.14472782022390787	-2.99877571457643110
219232468.614495010000	-3522516.281293765200	295268.974728118860	-926488.171653841160	-1.29419516561306610	-0.14473322250787377	-2.99877745922075300
219232468.655588750000	-3522551.665416639300	295288.851342472070	-926352.422833290420	-1.29423441359381750	-0.14473866717798581	-2.99877773390090810
219232468.696682480000	-3522587.044237862800	295308.727740607630	-926216.672652048520	-1.29427281736680390	-0.14474414411123332	-2.99877689254537530
219232468.737776250000	-3522622.417230209800	295328.604259279960	-926080.920597953720	-1.29431132582952580	-0.14474961649095688	-2.99877630023145380
219232468.778869990000	-3522657.785412348800	295348.480197359170	-925945.167634056760	-1.29435062948281180	-0.14475505392482121	-2.99877759604100770
219232468.819963750000	-3522693.148300409300	295368.355935764380	-925809.413199482140	-1.29438993329671550	-0.14476049134877503	-2.99877889218391940
219232468.861057490000	-3522728.505883192600	295388.231381669350	-925673.657484980770	-1.29442874596660310	-0.14476563189446445	-2.99878044257501890
