269843795.365948140621 0.000084812500
269843795.365948140621	-2694423.355693894438	2459986.099177110009	-315306.245505075902	1.45373132716982822	0.69774403909549565	2.94166959746114154
269843795.382910668850	-2694422.670500361826	2459995.036881099455	-315248.519552863319	1.45375259847810545	0.69774749236891065	2.94168356814437315
269843795.399873137474	-2694421.984609350096	2460003.973918308038	-315190.793743601011	1.45377285190184358	0.69775070680175910	2.94169654364107647
269843795.416835665703	-2694421.299348084722	2460012.910445301328	-315133.067972179793	1.45379310557772223	0.69775392104548217	2.94170951936930836
269843795.433798134327	-2694420.612062633969	2460021.846286299638	-315075.341984373576	1.45381335936186118	0.69775713509310477	2.94172249523547880
269843795.450760662556	-2694419.924091951922	2460030.781521277502	-315017.615720163740	1.45383361325461014	0.69776034894101047	2.94173547124013535
269843795.467723131180	-2694419.235433818772	2460039.716091328766	-314959.889577380265	1.45385386711350684	0.69776356256777805	2.94174844729189866
269843795.484685659409	-2694418.546067032963	2460048.650101435836	-314902.163145638595	1.45387417485646631	0.69776676490327427	2.94176149703704715
269843795.501648128033	-2694417.855998709332	2460057.583470370155	-314844.436842064373	1.45389488745378093	0.69776988316604538	2.94177510131912490
269843795.518610656261	-2694417.165247412398	2460066.516247443389	-314786.710245049966	1.45391560016006482	0.69777300121095776	2.94178870574026519
269843795.535573124886	-2694416.473801078275	2460075.448356298264	-314728.983787269739	1.45393631282856495	0.69777611902810510	2.94180231020301219
269843795.552535653114	-2694415.781664483249	2460084.379885310307	-314671.257039788819	1.45395702575205799	0.69777923664452213	2.94181591490115046
269843795.569498121738	-2694415.088823731523	2460093.310771485791	-314613.530418220907	1.45397773878414571	0.69778235404668498	2.94182951973777662
269843795.586460649967	-2694414.395278424956	2460102.241098505445	-314555.803507721925	1.45399831651842670	0.69778552052643217	2.94184306359810677
269843795.603423118591	-2694413.701049579307	2460111.170750540681	-314498.076720107521	1.45401857685778357	0.69778880228470852	2.94185646426714120
269843795.620385646820	-2694413.006121224724	2460120.099817221053	-314440.349656859005	1.45403883745172924	0.69779208385846891	2.94186986517233295
269843795.637348115444	-2694412.310504388530	2460129.028233709279	-314382.622721806460	1.45405909815811096	0.69779536522219843	2.94188326621987262
269843795.654310643673	-2694411.614184753969	2460137.956079057418	-314324.895496282203	1.45407935897621310	0.69779864638311939	2.94189666740864730
269843795.671273112297	-2694410.917162512895	2460146.883266515099	-314267.168389156752	1.45409961976352542	0.69780192731933866	2.94191006864429028
269843795.688235640526	-2694410.219460998662	2460155.809835348744	-314209.441022723564	1.45412005505718667	0.69780521785316452	2.94192356003740452
269843795.705198168755	-2694409.521050512791	2460164.735846198630	-314151.713550402259	1.45414084537959831	0.69780852810565297	2.94193723472549573
269843795.722160637379	-2694408.821953787003	2460173.661194589455	-314093.986203990236	1.45416163581854696	0.69781183813474712	2.94195090956117022
269843795.739123165607	-2694408.122159687337	2460182.585940883961	-314036.258592300641	1.45418242637225048	0.69781514795850963	2.94196458454165732
269843795.756085634232	-2694407.421667883173	2460191.510037330911	-313978.531091625628	1.45420321689589560	0.69781845754039151	2.94197825957287629
269843795.773048162460	-2694406.720476122107	2460200.433575110044	-313920.803301307198	1.45422400768157534	0.69782176692818920	2.94199193484683486
269843795.790010631084	-2694406.018604543526	2460209.356437564362	-313863.075653252832	1.45424484988832736	0.69782496112744463	2.94200565484453147
269843795.806973159313	-2694405.316020836588	2460218.278724751435	-313805.347710187081	1.45426574589304991	0.69782803480270927	2.94201942162940844
269843795.823935627937	-2694404.612747214735	2460227.200362570118	-313747.619897543045	1.45428664185857048	0.69783110824241279	2.94203318845488626
