time_utc,et,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,q_w,q_x,q_y,q_z,r00,r01,r02,r10,r11,r12,r20,r21,r22
2021-06-10T00:00:00,676555269.1846827,1371.9413819437423,227.87815905190564,3420.8377133765553,0.0,0.0,0.0,0.19208625656401362,0.14653903841640267,-0.9703163828713073,-0.010737662257804282,-0.8832583605184401,-0.280253344716586,-0.37591585674116457,-0.28850357410598737,0.9568220256584669,-0.035458411454821204,0.36962190993276967,0.07713412986476681,-0.9259751452969225
2021-06-10T00:01:00,676555329.1846827,1190.0427768749091,169.65376699805086,3492.114220708052,0.0,0.0,0.0,0.16442522618539102,0.144065851713733,-0.9757838945943552,-0.007427409652904049,-0.9044187507277595,-0.2787117687022579,-0.32302704734882204,-0.283596782750859,0.9583797279116893,-0.032881027071526236,0.31874690295813224,0.06187121394295991,-0.9458183571594615
2021-06-10T00:02:00,676555389.1846827,1004.0639238729188,112.48425077821821,3552.744080324702,0.0,0.0,0.0,0.13683483565929097,0.14111770964398127,-0.980479984308448,-0.0045847732155015475,-0.9227240395498639,-0.27547146609579326,-0.26962162043095866,-0.2779808928537062,0.960129543758799,-0.029629080474713965,0.2670336496493241,0.04761019395628496,-0.9625104152093146
2021-06-10T00:03:00,676555449.1846827,814.5779815588837,56.574495219010714,3602.550117600516,0.0,0.0,0.0,0.1099955939186115,0.13679268268467662,-0.9844408392243789,-0.008060108536618078,-0.9383774625648427,-0.2675554538326469,-0.2187734373153511,-0.271101759534782,0.9624455932286147,-0.01422378472718655,0.21436318183753644,0.045962584775298077,-0.9756720079377398
2021-06-10T00:04:00,676555509.1846827,622.1691354944367,2.120333382985109,3641.386970171294,0.0,0.0,0.0,0.08311296429610461,0.13240234418515484,-0.9876404732619591,-0.011320335466925019,-0.9511237088403803,-0.2596500944690735,-0.16716913268878458,-0.2634135610190031,0.9646829385183842,0.00035214034611324996,0.16117377687765175,0.044369545566038615,-0.9859281703416615
2021-06-10T00:05:00,676555569.1846827,427.431036574078,-50.69202107452361,3669.1412469317156,0.0,0.0,0.0,0.05618689100596079,0.12788984525400196,-0.9900884236618961,-0.014564823743992955,-0.9609744415199838,-0.25160780625134754,-0.11498536680265115,-0.2548812149082469,0.9668641067804277,0.014469461171095155,0.10753459458356679,0.04321239235531821,-0.9932617983767815
2021-06-10T00:06:00,676555629.1846827,230.96523829173475,-101.686457498957,3685.7318164605113,0.0,0.0,0.0,0.029212478605147738,0.12330830336873715,-0.991778397755883,-0.017813005328713695,-0.9678833868281342,-0.24354829901596806,-0.0623375933809468,-0.2456297471642018,0.9689555183229653,0.028128825420264847,0.05355162752101894,0.04253739011624985,-0.9976586558698057
2021-06-10T00:07:00,676555689.1846827,33.37951433290209,-150.69746139020026,3691.1099922618464,0.0,0.0,0.0,0.0022308070514292745,0.11858142755164862,-0.9927188701002917,-0.02104075774568434,-0.9718669370794244,-0.23534216580641165,-0.00941921469151663,-0.23552991728939712,0.970991463106601,0.041246049941197904,-0.0005609576694901031,0.042304179080200954,-0.9991046200267731
2021-06-10T00:08:00,676555749.1846827,-164.713737656975,-197.57057427032964,3685.259689264478,0.0,0.0,0.0,0.024754260641083343,-0.1137659066536553,0.9929028736727833,0.02425754554183203,-0.9728890901267704,-0.22711794649451872,0.043637789728835696,-0.2247160360750971,0.9729377799351155,0.05380315516421441,-0.054676516375871204,0.04253839154271932,-0.9975975961287987
2021-06-10T00:09:00,676555809.1846827,-362.69929471448404,-242.16287721094523,3668.1976771476398,0.0,0.0,0.0,0.0517425481767901,-0.10885793552135546,0.992330198990494,0.027448765977499918,-0.9709453171644016,-0.2188865718271706,0.09671535426325972,-0.2132054954432334,0.9747930302406815,0.06574165275527122,-0.10866741825093762,0.04321130486271274,-0.9931385479089697
2021-06-10T00:10:00,676555869.1846827,-559.9609818357842,-284.3435451631317,3639.9734433884623,0.0,0.0,0.0,0.07868873035658418,-0.10392425396293396,0.9909944659163447,0.030623547741814153,-0.9660156663062326,-0.21079617728513989,0.1495951339211841,-0.20115726492186936,0.9765238955239048,0.07705086787292253,-0.16232525133224948,0.044340197482528654,-0.985740564077147
2021-06-10T00:11:00,676555929.1846827,-755.8833172288533,-323.9942691272606,3600.66904113319,0.0,0.0,0.0,0.10558504078312791,-0.09894810915677003,0.9888983943531612,0.033779231827633364,-0.9581221417142504,-0.20283241567910923,0.20214097236007142,-0.1885660893985356,0.9781364703828699,0.08770333651512158,-0.2155105368325215,0.04591357595219775,-0.9754215253199205
2021-06-10T00:12:00,676555989.1846827,-949.8534244869131,-361.0094776626827,3550.398799355568,0.0,0.0,0.0,0.13242872492138,-0.09395059627971421,0.9860391947837065,0.03691374574170814,-0.947271836548767,-0.19505482117148978,0.25422368972871845,-0.17550106004890403,0.9796213216680053,0.09768031559706053,-0.2680959634221234,0.04791328491335689,-0.9622000163820277
2021-06-10T00:13:00,676556049.1846827,-1141.2625049511967,-395.2964676208694,3489.308712310055,0.0,0.0,0.0,0.15920216188667136,-0.08895390195938656,0.9824159924332596,0.04000865891508481,-0.9334837499536199,-0.18751840173541914,0.3056876470895114,-0.16204054176154736,0.9809730210760327,0.10693359970835231,-0.3199233523801474,0.05028698570759499,-0.9461079577248532
2021-06-10T00:14:00,676556109.1846827,-1329.5072072161392,-426.77564491478984,3417.5764081936945,0.0,0.0,0.0,0.18590417819623953,-0.08391830232140679,0.9780306649624381,0.04305082412457389,-0.9167947101293474,-0.18015600220294842,0.35641446989298403,-0.14814268988474916,0.9822086901553762,0.11541157834884541,-0.37086547818927085,0.05300852623410646,-0.9271725261427517
2021-06-10T00:15:00,676556169.1846827,-1513.9915203033595,-455.3807273828663,3335.411112760985,0.0,0.0,0.0,0.21246905548094122,-0.07899117070027445,0.9728799158218714,0.046064789208953634,-0.8972345908288735,-0.17327253151141817,0.4061363303667479,-0.1341231624947981,0.9832768602930697,0.12319737535596037,-0.4206911768774544,0.056064657635875814,-0.9054698713163425
2021-06-10T00:16:00,676556229.1846827,-1694.1287353944758,-481.0588137202833,3243.05327236543,0.0,0.0,0.0,0.23894391034266382,-0.07399214015648758,0.966968287020744,0.04902349234181484,-0.8748619418104397,-0.1665238359578488,0.4548476611235356,-0.1196683761226216,0.9842437207873496,0.1301682674343056,-0.46935707358879986,0.05944838221985144,-0.8810050098175384
2021-06-10T00:17:00,676556289.1846827,-1869.3432984077278,-503.770405024241,3140.7739600772593,0.0,0.0,0.0,0.26530163154185327,-0.0690507771213942,0.9602877824356381,0.05190770063301964,-0.8496940689603247,-0.16015963060977453,0.5023632967251768,-0.10507483993966998,0.985075161587849,0.13633122912350842,-0.5167003649943553,0.06305409380535315,-0.8538412698324473
2021-06-10T00:18:00,676556349.1846827,-2039.0725117949728,-523.4894212815757,3028.8742217929253,0.0,0.0,0.0,0.29146133752167314,-0.06428627189209371,0.9528486635414072,0.054744756494548144,-0.8218351279525862,-0.15442213641328062,0.5483984192616844,-0.09059821661248346,0.985740573765137,0.1418008617033631,-0.5624757644643845,0.0668530105435568,-0.8241066007328598
2021-06-10T00:19:00,676556409.1846827,-2202.7682496078896,-540.2031906633954,2907.6844285465836,0.0,0.0,0.0,0.317488059691913,-0.059472660955731484,0.9446472092144047,0.05749769278280495,-0.7913286691038176,-0.1488710282295212,0.5929893375165065,-0.07585170455602369,0.9863140358469975,0.14639378951018822,-0.6066675006709409,0.07086635058398738,-0.7917906945554367
2021-06-10T00:20:00,676556469.1846827,-2359.8986485072983,-553.9123791538052,2777.563537263706,0.0,0.0,0.0,0.3433068618416407,-0.05487316934414886,0.935687282203635,0.06015516454094478,-0.7582586677971461,-0.14399161490329138,0.6358539199753663,-0.06138489185481448,0.9867405829303604,0.15024951597334757,-0.649057538098488,0.0748961737059688,-0.757043509582993
2021-06-10T00:21:00,676556529.1846827,-2509.9497834205777,-564.6309121939139,2638.8983811217486,0.0,0.0,0.0,0.3689334681779418,-0.0502702604112019,0.9259733372712363,0.0627246015464006,-0.722721993952771,-0.13938025117409553,0.6769387454117077,-0.046815432019723435,0.9870770505580704,0.15325538028528418,-0.6895514736274133,0.07906985420643226,-0.7199074408380818
2021-06-10T00:22:00,676556589.1846827,-2652.427475221962,-572.3858702004518,2492.1029318121,0.0,0.0,0.0,0.3943369931621714,-0.04581047999763499,0.915505594247562,0.06518621516564944,-0.6847994714924077,-0.1352901735940907,0.7160630229055258,-0.03246882925791278,0.9873043145495279,0.15548622317912092,-0.728007870129396,0.08322715542878839,-0.6804981863523906
2021-06-10T00:23:00,676556649.1846827,-2786.859254902878,-577.2173034334028,2337.6172906557476,0.0,0.0,0.0,0.41948700345876727,-0.04148374735286345,0.9042952063496175,0.06752727158601073,-0.6446195052694961,-0.1316807333639501,0.7530776041596529,-0.01837348212650211,0.9874383325954261,0.15693296172478294,-0.7642827412552617,0.08732539024760999,-0.6389414430426669
2021-06-10T00:24:00,676556709.1846827,-2912.7960378566836,-579.1779460193818,2175.906167303692,0.0,0.0,0.0,0.4443848484926107,-0.03727390991717741,0.892338004999418,0.0697541891454864,-0.6022655241393707,-0.1285172623783281,0.7878829555866202,-0.004526443277760334,0.9874900174722836,0.15761654958741494,-0.7982830010368389,0.09136070634232657,-0.5953129190537101
2021-06-10T00:25:00,676556769.1846827,-3029.8132587846358,-578.3328701486078,2007.4576513290554,0.0,0.0,0.0,0.4689946665285045,-0.033223325961440515,0.8796477408719697,0.07183359491711978,-0.5578804267597535,-0.1258287930398649,0.8203270959077763,0.00892949853492811,0.987472290506686,0.1575396443356203,-0.8298732996634306,0.09521339361460612,-0.5497678748181999
2021-06-10T00:26:00,676556829.1846827,-3137.5125118649667,-574.7591184789767,1832.7823773398359,0.0,0.0,0.0,0.49331374367845526,-0.02927062626841672,0.8662223904203434,0.07378042470918823,-0.5115695614716038,-0.12350353875760894,0.8503196220775447,0.022084051336295235,0.987399358735173,0.15669971616421358,-0.8589580190278956,0.09894130726707123,-0.5023959984553582
2021-06-10T00:27:00,676556889.1846827,-3235.523369996038,-568.5452929687876,1652.412092868768,0.0,0.0,0.0,0.5172875029159006,-0.025564438232345936,0.8520879549262699,0.0755394989026532,-0.46352019764979324,-0.12171757730222099,0.8776866512294548,0.034584977733266575,0.9872804872068011,0.15518092310555015,-0.8854111506446518,0.10228426543891811,-0.4534148468651362
2021-06-10T00:28:00,676556949.1846827,-3323.504769929014,-559.7911124372656,1466.8980294176129,0.0,0.0,0.0,0.5409293249828074,-0.021921135634072803,0.8372333339682781,0.07717041971195054,-0.41382985837231373,-0.12019369702942166,0.9023847979182441,0.04678127514427971,0.9871283802679878,0.15293486576112653,-0.9091514508680201,0.10550372535554425,-0.40288038339025123
2021-06-10T00:29:00,676557009.1846827,-3401.146325988016,-548.6069513932629,1276.8093545503127,0.0,0.0,0.0,0.5641961679460461,-0.01850262842724211,0.8216827452769362,0.07859900082340837,-0.3626806736325611,-0.11909709117978086,0.9242719360912923,0.05828392909603952,0.9869596996216903,0.15004510965636392,-0.9300890885192445,0.10828866143404564,-0.35100976228911784
