0	-96.3935	-0.000057	0.012	112.9956	-0.012	-0.000057	-0.004850857	2.41312E-07	-1.62369E-13	11995.48
1	-89.4914	-0.000042	0.012	88.995	-0.012	-0.000042	-0.004850857	2.41312E-07	-1.62369E-13	11995.48
2	-96.9459	-0.000034	0.012	65.0469	-0.012	-0.000034	-0.004850857	2.41312E-07	-1.62369E-13	11995.48
3	-89.4927	-0.000018	0.012	41.038	-0.012	-0.000018	-0.004850857	2.41312E-07	-1.62369E-13	11995.48
4	-96.4998	0.000002	0.012	16.9992	-0.012	0.000002	-0.004850857	2.41312E-07	-1.62369E-13	11995.48
5	-89.496	-0.000001	0.012	-7.001	-0.012	-0.000001	-0.004850857	2.41312E-07	-1.62369E-13	11995.48
6	-96.6811	0.000019	0.012	-30.9996	-0.012	0.000019	-0.004850857	2.41312E-07	-1.62369E-13	11995.48
7	-89.4935	0.000031	0.012	-55.0034	-0.012	0.000031	-0.004850857	2.41312E-07	-1.62369E-13	11995.48
8	-96.3954	0.000049	0.012	-78.999	-0.012	0.000049	-0.004850857	2.41312E-07	-1.62369E-13	11995.48
9	-89.1039	0.000056	0.012	-102.9997	-0.012	0.000056	-0.004850857	2.41312E-07	-1.62369E-13	11995.48
